FIRE_ID,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_CODE,OWNER_DESCR
1063,HORSE RIVER,5/1/2016,15:00,Human,7/4/2016,19:00,589552,G,56.789,-111.4567,AB,Wood Buffalo,48175,Mixed Ownership
1064,POLE CREEK,9/6/2018,14:30,Lightning,10/8/2018,18:00,102190,G,40.1234,-111.6789,UT,Utah,49049,USFS
1065,BISCUIT,7/13/2002,15:00,Lightning,9/5/2002,18:00,499570,G,42.3456,-123.8901,OR,Josephine,41033,USFS
1066,CHETCO BAR,7/12/2017,14:30,Lightning,11/4/2017,19:00,191125,G,42.4567,-124.1234,OR,Curry,41015,USFS
1067,EAGLE CREEK,9/2/2017,16:00,Human,11/30/2017,18:00,48831,G,45.6123,-121.9087,OR,Hood River,41027,USFS
1068,BEAR,8/11/2006,15:30,Human,9/4/2006,19:00,40200,G,34.2345,-116.8901,CA,San Bernardino,6071,USFS
1069,RICE RIDGE,7/24/2017,16:15,Lightning,9/27/2017,18:00,160187,G,47.2345,-113.5678,MT,Missoula,30063,USFS
1070,LOLO PEAK,7/15/2017,14:30,Lightning,10/4/2017,18:00,53436,G,46.7654,-114.2345,MT,Missoula,30063,USFS
1071,MAPLE,9/6/2003,13:15,Human,10/2/2003,18:00,62000,G,34.2345,-117.2345,CA,San Bernardino,6071,USFS
1072,CASTLE,9/6/2020,14:30,Human,12/31/2020,18:00,176338,G,37.6543,-122.3456,CA,Santa Clara,6085,Private
1073,BEAR CREEK,6/30/2012,15:00,Human,7/21/2012,18:00,9786,G,37.3456,-104.2345,CO,Las Animas,8071,Private
1074,BADGER CREEK,6/8/2018,15:30,Human,7/6/2018,18:00,21400,G,38.5678,-105.3456,CO,Park,8093,USFS
1075,BLACK FOREST,6/11/2013,13:00,Human,6/20/2013,19:00,14280,G,39.0123,-104.789,CO,El Paso,8041,Private
1076,SUGAR,10/26/2005,14:30,Human,11/4/2005,18:00,8840,G,33.9876,-117.1234,CA,Riverside,6065,USFS
1077,GARDEN,7/29/2002,13:15,Lightning,8/15/2002,18:00,2434,F,38.789,-120.2345,CA,El Dorado,6017,USFS
1078,CALDOR,8/14/2021,13:45,Human,10/21/2021,19:00,221835,G,38.5678,-120.4567,CA,El Dorado,6017,USFS
1079,PINE GULCH,7/31/2020,17:30,Lightning,9/15/2020,18:00,139007,G,39.3456,-108.2345,CO,Garfield,8045,BLM
1080,GRIZZLY CREEK,8/10/2020,13:30,Human,12/18/2020,18:00,32631,G,39.5678,-107.3456,CO,Garfield,8045,BLM
1081,SALT,6/30/2021,14:00,Lightning,8/15/2021,18:00,19294,G,33.3456,-110.9876,AZ,Gila,4007,USFS
1082,TELEGRAPH,6/4/2021,15:30,Human,8/2/2021,19:00,41671,G,40.4567,-121.9876,CA,Tehama,6103,USFS
1083,WILLOW,7/20/2021,14:45,Lightning,9/9/2021,18:00,56338,G,40.6789,-121.4567,CA,Modoc,6049,USFS
1084,BOOTLEG,7/6/2021,13:30,Lightning,10/12/2021,19:00,413765,G,42.5678,-121.3456,OR,Klamath,41035,USFS
1085,TAMARACK,7/4/2021,15:00,Lightning,9/10/2021,18:00,68637,G,38.789,-120.5678,CA,Alpine,6003,USFS
1086,MONUMENT,7/30/2021,14:30,Lightning,9/1/2021,18:00,223124,G,45.4567,-118.6789,OR,Umatilla,41059,USFS
1087,DIXIE,7/13/2021,17:00,Equipment Use,10/25/2021,19:00,963309,G,40.0123,-121.2345,CA,Butte,6007,USFS
1088,RIVER COMPLEX,7/30/2021,13:30,Lightning,10/5/2021,18:00,198744,G,41.2345,-123.1234,CA,Siskiyou,6093,USFS
1089,MCCASH,7/31/2021,15:00,Lightning,10/21/2021,19:00,94962,G,41.3456,-123.4567,CA,Siskiyou,6093,USFS
1090,KNP COMPLEX,9/9/2021,22:30,Lightning,12/16/2021,18:00,88307,G,36.5678,-118.789,CA,Tulare,6107,USFS
1091,WINDY,9/2/2021,15:00,Lightning,11/10/2021,19:00,97685,G,36.3456,-118.5678,CA,Tulare,6107,USFS
1092,HERMITS PEAK,4/6/2022,14:30,Human,7/22/2022,18:00,341735,G,35.8901,-105.2345,NM,San Miguel,35047,USFS
1093,CALF CANYON,4/19/2022,13:00,Human,8/21/2022,19:00,301971,G,35.789,-105.3456,NM,San Miguel,35047,USFS
1094,MOSQUITO,6/16/2022,15:30,Human,8/3/2022,18:00,78672,G,39.4567,-120.3456,CA,Placer,6061,USFS
1095,OAK,5/20/2022,14:15,Human,6/17/2022,19:00,19244,G,35.2345,-106.789,NM,Bernalillo,35001,USFS
1096,PIPELINE,6/12/2022,13:45,Human,7/1/2022,18:00,20516,G,33.5678,-111.2345,AZ,Maricopa,4013,USFS
1097,CEDAR CREEK,6/8/2022,15:00,Lightning,7/15/2022,19:00,53019,G,37.3456,-105.6789,CO,Las Animas,8071,USFS
1098,MARSHALL,12/30/2021,11:00,Human,1/7/2022,19:00,6026,G,39.9356,-105.1897,CO,Boulder,8013,Private
1099,BLACK,6/11/2022,13:30,Human,7/22/2022,18:00,325128,G,33.789,-108.2345,NM,Grant,35017,USFS
1100,CALF CANYON/HERMITS PEAK,4/6/2022,14:00,Human,8/21/2022,19:00,341735,G,35.8765,-105.3456,NM,San Miguel,35047,USFS
1101,DOUBLE CREEK,8/30/2022,13:30,Lightning,10/20/2022,18:00,175485,G,45.2345,-116.8765,OR,Wallowa,41063,USFS
1102,BOLT CREEK,9/10/2022,5:15,Human,10/15/2022,19:00,13765,G,47.789,-121.4567,WA,Snohomish,53061,USFS
1103,OAK,10/13/2022,14:30,Human,10/19/2022,18:00,9813,G,34.2345,-118.6789,CA,Los Angeles,6037,Private
1104,GLASS,9/27/2020,4:15,Human,10/20/2020,19:00,67484,G,38.5678,-122.4567,CA,Napa,6055,Private
1105,MOUNTAIN VIEW,11/6/2022,13:00,Human,11/17/2022,18:00,6250,G,34.3456,-117.2345,CA,San Bernardino,6071,USFS
1106,RED SALMON COMPLEX,7/27/2020,14:30,Lightning,11/17/2020,19:00,144698,G,41.1234,-123.3456,CA,Trinity,6105,USFS
1107,APPLE,7/8/2022,16:00,Human,7/25/2022,18:00,21597,G,43.5678,-116.2345,ID,Ada,16001,BLM
1108,ELECTRA,8/1/2022,13:30,Human,8/12/2022,19:00,4478,F,38.3456,-120.789,CA,Amador,6005,USFS
1109,MOOSE,9/1/2022,15:00,Lightning,9/17/2022,18:00,5600,G,43.1234,-114.8765,ID,Blaine,16013,USFS
1110,GOOSE,8/28/2022,14:30,Lightning,9/14/2022,19:00,8120,G,44.5678,-116.3456,ID,Adams,16003,USFS
1111,RICE VALLEY,5/22/2022,13:15,Human,6/3/2022,18:00,2876,F,42.3456,-114.2345,ID,Twin Falls,16083,BLM
1112,LOOKOUT,7/5/2022,14:30,Lightning,7/18/2022,19:00,26062,G,45.6789,-115.4567,ID,Idaho,16049,USFS
1113,ROSS FORK,8/13/2022,15:00,Lightning,9/25/2022,18:00,38900,G,42.8765,-112.3456,ID,Bannock,16005,USFS
1114,SNAKE RIVER COMPLEX,7/7/2021,13:30,Lightning,7/21/2021,19:00,107679,G,46.1234,-116.789,ID,Nez Perce,16069,BLM
1115,PIONEER,8/29/2022,14:00,Human,9/11/2022,18:00,2570,F,42.5678,-111.3456,ID,Caribou,16029,USFS
1116,LAME DEER,8/10/2021,13:30,Lightning,8/28/2021,19:00,41893,G,45.6123,-106.5678,MT,Rosebud,30087,BLM
1117,BLACK MOUNTAIN,8/3/2021,14:15,Lightning,8/20/2021,18:00,18430,G,48.3456,-107.8765,MT,Phillips,30071,BLM
1118,TRAIL CREEK,7/8/2021,15:30,Lightning,9/30/2021,19:00,62689,G,45.6789,-113.2345,MT,Beaverhead,30001,USFS
1119,ROBERTSON DRAW,6/13/2021,14:00,Human,7/1/2021,18:00,29601,G,45.0123,-109.2345,MT,Carbon,30009,USFS
1120,HAYSTACK,7/30/2021,15:30,Lightning,8/10/2021,19:00,24011,G,46.789,-107.3456,MT,Rosebud,30087,BLM
1121,RAINBOW,8/17/2022,14:15,Lightning,9/3/2022,18:00,4178,F,47.3456,-111.6789,MT,Cascade,30013,Private
1122,ELMO,7/29/2022,13:30,Human,8/17/2022,19:00,21349,G,47.8123,-114.3456,MT,Lake,30047,Tribal
1123,MOOSE,7/17/2021,14:00,Lightning,7/29/2021,18:00,7525,G,45.2345,-113.789,MT,Beaverhead,30001,USFS
1124,RICHARD SPRING,8/8/2021,15:30,Lightning,8/28/2021,19:00,170835,G,45.3456,-106.789,MT,Rosebud,30087,Private
1125,GOLD 2,8/11/2022,14:15,Lightning,8/25/2022,18:00,6535,G,47.6789,-115.2345,MT,Sanders,30089,USFS
1126,HUFF,6/1/2022,13:30,Human,6/12/2022,19:00,12252,G,32.3456,-106.5678,NM,Doña Ana,35013,BLM
1127,CERRO PELADO,4/29/2022,14:00,Human,7/1/2022,18:00,45605,G,35.8765,-106.5678,NM,Sandoval,35043,USFS
1128,SOUTH FORK,6/15/2022,15:30,Human,7/10/2022,19:00,17591,G,36.5678,-105.2345,NM,Taos,35055,USFS
1129,BEAR TRAP,5/31/2022,13:15,Human,6/15/2022,18:00,19101,G,35.1234,-106.3456,NM,Bernalillo,35001,USFS
1130,SALT,4/22/2022,14:30,Human,5/8/2022,19:00,3426,F,33.789,-105.6789,NM,Lincoln,35027,USFS
1131,MOUNTAIN,6/4/2022,15:00,Lightning,6/20/2022,18:00,5423,G,35.2345,-107.3456,NM,Cibola,,
